"_id",author,helpful_num,rating,reply,review
"00b1de660f015cf31a996f7b0b40ef78cam haydonMay 19, 2019110","cam haydonMay 19, 2019",0,2,None," can't believe how ludicrous odds are considering its a FREE casino. I played for a week so far, i have to get to level 30 for premium credits for another game. I have seen 2 features, and 2 ""coin"" features. Havn't seen a ""Big Win"" for the challenge. I get this is about luck, but seriously its a joke...Full Reviewcan't believe how ludicrous odds are considering its a FREE casino. I played for a week so far, i have to get to level 30 for premium credits for another game. I have seen 2 features, and 2 ""coin"" features. Havn't seen a ""Big Win"" for the challenge. I get this is about luck, but seriously its a joke how crazy it is to win on this"
"00cd702c465befa50c44111c9e44fbd1Ana RodriguezMay 28, 2019833","Ana RodriguezMay 28, 2019",0,5,None," i love this game but lately on private eye it is not paying out sloto cards packs and coins, i have completed private eye 2 or 3 times and gotten no pay out plz fix!"
"00d0d880fdff4ab57e0ebec039131571Shawn TousleyMarch 8, 2019687","Shawn TousleyMarch 8, 2019",65,1,None," the makers of the game are getting greedy. theres no fun in this game anymore. it just takes all your coins and then tries to sell it back to you like a crack head. do not spend your money on this game. there is no chance of winning"
"00d0d880fdff4ab57e0ebec039131571Shawn TousleyMarch 8, 2019751","Shawn TousleyMarch 8, 2019",65,1,None," the makers of the game are getting greedy. theres no fun in this game anymore. it just takes all your coins and then tries to sell it back to you like a crack head. do not spend your money on this game. there is no chance of winning"
"00d0d880fdff4ab57e0ebec039131571Shawn TousleyMarch 8, 2019779","Shawn TousleyMarch 8, 2019",65,1,None," the makers of the game are getting greedy. theres no fun in this game anymore. it just takes all your coins and then tries to sell it back to you like a crack head. do not spend your money on this game. there is no chance of winning"
"00d0d880fdff4ab57e0ebec039131571Shawn TousleyMarch 8, 2019808","Shawn TousleyMarch 8, 2019",65,1,None," the makers of the game are getting greedy. theres no fun in this game anymore. it just takes all your coins and then tries to sell it back to you like a crack head. do not spend your money on this game. there is no chance of winning"
"00d0d880fdff4ab57e0ebec039131571Shawn TousleyMarch 8, 2019809","Shawn TousleyMarch 8, 2019",65,1,None," the makers of the game are getting greedy. theres no fun in this game anymore. it just takes all your coins and then tries to sell it back to you like a crack head. do not spend your money on this game. there is no chance of winning"
"00d7cd7904417e7aebbe642896223fa0Yhosvany MarreroApril 24, 2019970","Yhosvany MarreroApril 24, 2019",0,5,None," I hace a wonderful time playing with Slotomania. You can have fun to! Love it!"
"00dec5abe78f0e9b9eb5102dfe9c46deDottieMay 1, 201931","DottieMay 1, 2019",36,2,None," There have been some improvements in a few areas. The min. requirements for some features have gone down, available gifts in the lobby have increased. Often the challenges are unrealistic and you dont always get your prize. Tech issues are a constant problem and support often doesn't answer. Too man...Full ReviewThere have been some improvements in a few areas. The min. requirements for some features have gone down, available gifts in the lobby have increased. Often the challenges are unrealistic and you dont always get your prize. Tech issues are a constant problem and support often doesn't answer. Too many players couldn't complete the album . Cards were impossible for many, no matter what. The best thing about this game are the many other players who all (mostly) band together to help one another."
"00e7ef2987cf93f3f67bfdc7426949e5Jonathon CrawfordMay 4, 2019107","Jonathon CrawfordMay 4, 2019",3,2,None," I give the game 2 stars. because I have bought alot of stuff in this game and yet every time i go i dont get heaps of play time before im back to 0 and they want you to spend more money. Yet i opened a second account never bought a thing and I've got bigger wins and pay out than my first account. I ...Full ReviewI give the game 2 stars. because I have bought alot of stuff in this game and yet every time i go i dont get heaps of play time before im back to 0 and they want you to spend more money. Yet i opened a second account never bought a thing and I've got bigger wins and pay out than my first account. I won't spend another sent on the game. money hurngy is what they are."
"00e7ef2987cf93f3f67bfdc7426949e5Jonathon CrawfordMay 4, 2019126","Jonathon CrawfordMay 4, 2019",3,2,None," I give the game 2 stars. because I have bought alot of stuff in this game and yet every time i go i dont get heaps of play time before im back to 0 and they want you to spend more money. Yet i opened a second account never bought a thing and I've got bigger wins and pay out than my first account. I ...Full ReviewI give the game 2 stars. because I have bought alot of stuff in this game and yet every time i go i dont get heaps of play time before im back to 0 and they want you to spend more money. Yet i opened a second account never bought a thing and I've got bigger wins and pay out than my first account. I won't spend another sent on the game. money hurngy is what they are."
"00ebef1f1e1f5fcba6d30cfe5c94e9a5Richard PearceApril 7, 20191563","Richard PearceApril 7, 2019",0,5,None," excellent game. you can go for hours at a time. the best thing over a real casino is you don't lose your own money but get the same buzz"
"00ebef1f1e1f5fcba6d30cfe5c94e9a5Richard PearceApril 7, 20191613","Richard PearceApril 7, 2019",0,5,None," excellent game. you can go for hours at a time. the best thing over a real casino is you don't lose your own money but get the same buzz"
"0138644ad97d0db0bc2bd56ff935af13Danielle WilsonMarch 30, 2019844","Danielle WilsonMarch 30, 2019",89,2,None," This game could be fun, I'm not sure yet because every few seconds mutiple ads pop up. It's ridiculously excessive & extremely annoying ."
"0138644ad97d0db0bc2bd56ff935af13Danielle WilsonMarch 30, 2019895","Danielle WilsonMarch 30, 2019",89,2,None," This game could be fun, I'm not sure yet because every few seconds mutiple ads pop up. It's ridiculously excessive & extremely annoying ."
"0138644ad97d0db0bc2bd56ff935af13Danielle WilsonMarch 30, 2019940","Danielle WilsonMarch 30, 2019",89,2,None," This game could be fun, I'm not sure yet because every few seconds mutiple ads pop up. It's ridiculously excessive & extremely annoying ."
"0138644ad97d0db0bc2bd56ff935af13Danielle WilsonMarch 30, 2019967","Danielle WilsonMarch 30, 2019",89,2,None," This game could be fun, I'm not sure yet because every few seconds mutiple ads pop up. It's ridiculously excessive & extremely annoying ."
"01403b4396cf05893f993ea1fd465c29Raymond DurantMay 29, 2019139","Raymond DurantMay 29, 2019",1,1,None," dont win enough, and even if you buy something it a gamble... i sent 50$ on lotto bouns wheel and got the lowest amount of coins... put it to you this way ive never got top coins on any wheels.... every this is a chance game... and trust me they not giving you anthing even if u pay"
"01562de8785dd60e11de56ac47e26318Theodore RayMay 11, 20191607","Theodore RayMay 11, 2019",8,1,None," after the last update can't win horrible would rate 0 stars but I cant"
"0169dd2971ae71d1561e15e4f6aaae2cRobbie BassApril 3, 2019380","Robbie BassApril 3, 2019",18,1,None," All i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its...Full ReviewAll i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its not like your playing for real money right i understand challenge but give a person a chance.over 100 bill. Down 60bill. Bigger payouts please not fair!Unsatisfied!!!!!"
"0169dd2971ae71d1561e15e4f6aaae2cRobbie BassApril 3, 2019475","Robbie BassApril 3, 2019",18,1,None," All i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its...Full ReviewAll i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its not like your playing for real money right i understand challenge but give a person a chance.over 100 bill. Down 60bill. Bigger payouts please not fair!Unsatisfied!!!!!"
"0169dd2971ae71d1561e15e4f6aaae2cRobbie BassApril 3, 2019482","Robbie BassApril 3, 2019",18,1,None," All i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its...Full ReviewAll i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its not like your playing for real money right i understand challenge but give a person a chance.over 100 bill. Down 60bill. Bigger payouts please not fair!Unsatisfied!!!!!"
"0169dd2971ae71d1561e15e4f6aaae2cRobbie BassApril 3, 2019514","Robbie BassApril 3, 2019",18,1,None," All i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its...Full ReviewAll i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its not like your playing for real money right i understand challenge but give a person a chance.over 100 bill. Down 60bill. Bigger payouts please not fair!Unsatisfied!!!!!"
"0169dd2971ae71d1561e15e4f6aaae2cRobbie BassApril 3, 2019521","Robbie BassApril 3, 2019",18,1,None," All i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its...Full ReviewAll i can say really is play at your own risk the special quest you have to complete in the hard mode is just designed to swallow up all your coins no matter how many you make think you have i mean yes hard mode but come on really give a person a break for petes sakes why make it so overwhelming its not like your playing for real money right i understand challenge but give a person a chance.over 100 bill. Down 60bill. Bigger payouts please not fair!Unsatisfied!!!!!"
"0172c9bb61a730f4c4d6d7d2e78fa599Victoria HeadleyfrazerMay 17, 201990","Victoria HeadleyfrazerMay 17, 2019",0,1,None," too many interruptions, most payouts don't cover bet, can only play machines they allow until you earn the right to play the others one at a time. So your bored nuts, I lasted about 15 minutes to many other sites out there that are fun."
"01de342c7d541278fa90a4ec31964793A Google userMay 7, 2019168","A Google userMay 7, 2019",33,5,None," awesome play.. love the dashes, quests and card collecting.. more than just a slots game..♡♡.. very addictive.. always wish for more bigger wins.. pi lucy... love the challenge.. as for 2019 first album... you never get the ones you need... but its ""random"" .. looove love... ♡♡ ♡♡ looove... looking ...Full Reviewawesome play.. love the dashes, quests and card collecting.. more than just a slots game..♡♡.. very addictive.. always wish for more bigger wins.. pi lucy... love the challenge.. as for 2019 first album... you never get the ones you need... but its ""random"" .. looove love... ♡♡ ♡♡ looove... looking forward to the new album... ♡♡"
"01de342c7d541278fa90a4ec31964793A Google userMay 7, 2019547","A Google userMay 7, 2019",33,5,None," awesome play.. love the dashes, quests and card collecting.. more than just a slots game..♡♡.. very addictive.. always wish for more bigger wins.. pi lucy... love the challenge.. as for 2019 first album... you never get the ones you need... but its ""random"" .. looove love... ♡♡ ♡♡ looove... looking ...Full Reviewawesome play.. love the dashes, quests and card collecting.. more than just a slots game..♡♡.. very addictive.. always wish for more bigger wins.. pi lucy... love the challenge.. as for 2019 first album... you never get the ones you need... but its ""random"" .. looove love... ♡♡ ♡♡ looove... looking forward to the new album... ♡♡"
"01de342c7d541278fa90a4ec31964793A Google userMay 7, 2019648","A Google userMay 7, 2019",33,5,None," awesome play.. love the dashes, quests and card collecting.. more than just a slots game..♡♡.. very addictive.. always wish for more bigger wins.. pi lucy... love the challenge.. as for 2019 first album... you never get the ones you need... but its ""random"" .. looove love... ♡♡ ♡♡ looove... looking ...Full Reviewawesome play.. love the dashes, quests and card collecting.. more than just a slots game..♡♡.. very addictive.. always wish for more bigger wins.. pi lucy... love the challenge.. as for 2019 first album... you never get the ones you need... but its ""random"" .. looove love... ♡♡ ♡♡ looove... looking forward to the new album... ♡♡"
"02241e1e8653bab647870e16c8e2d086Missy LowryMarch 1, 20191022","Missy LowryMarch 1, 2019",3,5,None," Best game ever!! Super addictive! hubby gets mad because i actually want to spend money to keep playing and I AM NOT one of those people. Great bonuses challenges its in my best description; ""Gambling meets Neverland!!"" HIGHLY RECOMMEND AT LEAST TRY IT!!!"
"02241e1e8653bab647870e16c8e2d086Missy LowryMarch 1, 20191025","Missy LowryMarch 1, 2019",3,5,None," Best game ever!! Super addictive! hubby gets mad because i actually want to spend money to keep playing and I AM NOT one of those people. Great bonuses challenges its in my best description; ""Gambling meets Neverland!!"" HIGHLY RECOMMEND AT LEAST TRY IT!!!"
"02241e1e8653bab647870e16c8e2d086Missy LowryMarch 1, 20191225","Missy LowryMarch 1, 2019",3,5,None," Best game ever!! Super addictive! hubby gets mad because i actually want to spend money to keep playing and I AM NOT one of those people. Great bonuses challenges its in my best description; ""Gambling meets Neverland!!"" HIGHLY RECOMMEND AT LEAST TRY IT!!!"
"02241e1e8653bab647870e16c8e2d086Missy LowryMarch 1, 20191289","Missy LowryMarch 1, 2019",3,5,None," Best game ever!! Super addictive! hubby gets mad because i actually want to spend money to keep playing and I AM NOT one of those people. Great bonuses challenges its in my best description; ""Gambling meets Neverland!!"" HIGHLY RECOMMEND AT LEAST TRY IT!!!"
"022d9655cc661202c294a50ec5814e62Leon BorcherdtMay 30, 201979","Leon BorcherdtMay 30, 2019",4,1,None," I was appreciative for the :-) jar but I'm not spending hundreds anymore when I can't even get sloto cards!!! VIP?? I think not!! ill tell amazon, slotomania sucks on my next order!!"
"023880b190d3901a649d72d0ffde1293A Google userApril 14, 20191341","A Google userApril 14, 2019",3,1,None," Great game until you get so far and don't spend money. Then you never get anywhere or playing time"
"023880b190d3901a649d72d0ffde1293A Google userApril 14, 20191411","A Google userApril 14, 2019",3,1,None," Great game until you get so far and don't spend money. Then you never get anywhere or playing time"
"023880b190d3901a649d72d0ffde1293A Google userApril 14, 20191413","A Google userApril 14, 2019",3,1,None," Great game until you get so far and don't spend money. Then you never get anywhere or playing time"
"023880b190d3901a649d72d0ffde1293A Google userApril 14, 20191515","A Google userApril 14, 2019",3,1,None," Great game until you get so far and don't spend money. Then you never get anywhere or playing time"
"023880b190d3901a649d72d0ffde1293A Google userApril 14, 20191565","A Google userApril 14, 2019",3,1,None," Great game until you get so far and don't spend money. Then you never get anywhere or playing time"
"023d993473218d5f9f39041dabc18020deb frankeMay 5, 2019136","deb frankeMay 5, 2019",3,1,None," you need to have a LARGE bankroll in order to get anywhere on this game. In the last week have been able to collect ""free"" coins every 3 hours, got frustrated and paid 50 bucks to be able to play longer... 50 bucks and 15 minutes later...nothing! Sick of it!!! save your money!"
"023e7ea17bc239d5b1df51fae8a32cf1Darryl DavisMay 1, 20191546","Darryl DavisMay 1, 2019",1,1,None," no hero power up with the update and no ace card with the lotto bonus not cool"
"023f56fe7c9b670f5830b5775d70393eAnnemarie ReevesMay 11, 2019219","Annemarie ReevesMay 11, 2019",2,1,None," I am so over this app the higher levelnyou are on the more impossible it is to acheive your goals and the more it costs to purchase coins which is like pissing money down the drain .I hate to think how much this game has cost so now i am looking for a fairer game to play or stopnpurchasing and save ...Full ReviewI am so over this app the higher levelnyou are on the more impossible it is to acheive your goals and the more it costs to purchase coins which is like pissing money down the drain .I hate to think how much this game has cost so now i am looking for a fairer game to play or stopnpurchasing and save my money for a real casino"
"023f56fe7c9b670f5830b5775d70393eAnnemarie ReevesMay 11, 2019245","Annemarie ReevesMay 11, 2019",2,1,None," I am so over this app the higher levelnyou are on the more impossible it is to acheive your goals and the more it costs to purchase coins which is like pissing money down the drain .I hate to think how much this game has cost so now i am looking for a fairer game to play or stopnpurchasing and save ...Full ReviewI am so over this app the higher levelnyou are on the more impossible it is to acheive your goals and the more it costs to purchase coins which is like pissing money down the drain .I hate to think how much this game has cost so now i am looking for a fairer game to play or stopnpurchasing and save my money for a real casino"
"0267d235997f89d682799cf917aa6c6eLida bothaMay 11, 2019318","Lida bothaMay 11, 2019",1,1,None," dont ever start your game as a guest, and link your account afterwards. you basically lose everything!!!!"
"026d8da6dd4c0b3b39e56f011dc03ecfcaren cathcartMay 30, 2019732","caren cathcartMay 30, 2019",0,5,None," very enjoyable and plenty of games to choose from, the new hero cards are a plus too. They always seem to throw side games in to give it a twist."
"0275ee1ef2a8f839580470f5367cfa2dBrian HumphriesMay 22, 20191103","Brian HumphriesMay 22, 2019",0,5,None," so far so good 😁 uninstalled but missed it so much I've gone back and it's better than ever!"
"0275ee1ef2a8f839580470f5367cfa2dBrian HumphriesMay 22, 20191162","Brian HumphriesMay 22, 2019",0,5,None," so far so good 😁 uninstalled but missed it so much I've gone back and it's better than ever!"
"0275ee1ef2a8f839580470f5367cfa2dBrian HumphriesMay 22, 20191186","Brian HumphriesMay 22, 2019",0,5,None," so far so good 😁 uninstalled but missed it so much I've gone back and it's better than ever!"
"027d0c82a50b10ba47d824f9e41c2aa6Bob ThebuilderMay 26, 2019101","Bob ThebuilderMay 26, 2019",4,1,None," I think I'm being punished because i cant afford to buy coins.i can't win on this game anymore.its just constant pop ups wanting you to buy,buy,buy.and when i finally do win anything it takes it right back.i could loose a hundred million coins and then they have the nerve to ask me if im enjoying my...Full ReviewI think I'm being punished because i cant afford to buy coins.i can't win on this game anymore.its just constant pop ups wanting you to buy,buy,buy.and when i finally do win anything it takes it right back.i could loose a hundred million coins and then they have the nerve to ask me if im enjoying my big wins.this app just keeps getting worse and worse as time goes by.i have to give you 1 star or it wont let me even post a response.if i could you minus 5 stars i would .waiting for generic responce"
"02855e61622589680a0d3e6504474df6Cathy BaileyApril 12, 2019281","Cathy BaileyApril 12, 2019",44,4,None," love games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are ...Full Reviewlove games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are going to make it so that I just quit playing."
"02855e61622589680a0d3e6504474df6Cathy BaileyApril 12, 2019371","Cathy BaileyApril 12, 2019",44,4,None," love games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are ...Full Reviewlove games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are going to make it so that I just quit playing."
"02855e61622589680a0d3e6504474df6Cathy BaileyApril 12, 2019390","Cathy BaileyApril 12, 2019",44,4,None," love games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are ...Full Reviewlove games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are going to make it so that I just quit playing."
"02855e61622589680a0d3e6504474df6Cathy BaileyApril 12, 2019427","Cathy BaileyApril 12, 2019",44,4,None," love games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are ...Full Reviewlove games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are going to make it so that I just quit playing."
"02855e61622589680a0d3e6504474df6Cathy BaileyApril 12, 2019433","Cathy BaileyApril 12, 2019",44,4,None," love games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are ...Full Reviewlove games but they have a stupid max bet button that I never use and they took my money I paid for more than 10 times! Plus when I complained they say they cannot return it to me! what dishonesty!!!! I have played your games from the beginning and there should be honesty by your company!!! you are going to make it so that I just quit playing."
